,ind,cycle,start M,0,1,21,22,212,223,50,100
30030,30,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35030,30,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40030,30,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45030,30,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
31,31,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5031,31,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10031,31,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15031,31,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20031,31,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25031,31,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30031,31,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35031,31,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40031,31,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45031,31,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
32,32,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5032,32,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10032,32,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15032,32,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20032,32,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25032,32,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30032,32,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35032,32,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40032,32,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45032,32,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
33,33,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5033,33,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10033,33,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15033,33,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20033,33,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25033,33,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30033,33,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35033,33,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40033,33,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45033,33,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
34,34,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5034,34,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10034,34,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15034,34,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20034,34,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25034,34,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30034,34,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35034,34,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40034,34,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45034,34,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
35,35,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5035,35,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10035,35,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15035,35,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20035,35,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25035,35,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30035,35,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35035,35,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40035,35,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45035,35,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
